Date,Result
1/16/2000,0.06
1/16/2000,0.05
1/16/2000,0.05
1/17/2000,0.4
1/19/2000,0.19
1/22/2000,0.01
1/23/2000,0.04
1/23/2000,0.01
1/23/2000,0.28
1/24/2000,0.093
1/24/2000,0.064
1/25/2000,0.087
1/25/2000,1
1/25/2000,1
1/30/2000,0.09
1/30/2000,0.05
1/30/2000,0.31
2/3/2000,0.08
2/3/2000,0.08
2/3/2000,0.05
2/9/2000,0.11
2/9/2000,0.33
2/10/2000,0.12
2/10/2000,0.204
2/10/2000,0.05
2/11/2000,0.05
2/11/2000,0.05
2/11/2000,0.19
2/12/2000,0.042
2/12/2000,1
2/12/2000,1
2/12/2000,1
2/12/2000,1
2/12/2000,0.17
2/13/2000,0.05
2/13/2000,0.16
2/14/2000,0.072
2/16/2000,0.05
2/16/2000,0.039
2/16/2000,0.05
2/16/2000,0.12
2/20/2000,0.1
2/20/2000,0.048
2/20/2000,0.05
2/20/2000,0.13
2/20/2000,0.05
2/20/2000,0.05
2/20/2000,0.14
2/20/2000,0.094
2/20/2000,0.089
2/21/2000,0.03
2/22/2000,0.05
2/22/2000,0.07
2/22/2000,0.05
2/22/2000,0.15
2/23/2000,0.034
2/23/2000,1
2/23/2000,1
2/23/2000,1
2/23/2000,1
2/23/2000,0.096
2/23/2000,0.051
2/26/2000,0.05
2/26/2000,0.03
2/26/2000,0.038
2/26/2000,0.056
2/27/2000,0.15
2/27/2000,0.05
2/27/2000,0.11
2/27/2000,0.03
3/2/2000,0.038
3/4/2000,0.05
3/4/2000,0.07
3/5/2000,0.05
3/5/2000,0.037
3/5/2000,1
3/5/2000,1
3/5/2000,1
3/5/2000,1
3/5/2000,0.053
3/5/2000,0.037
3/7/2000,0.062
3/7/2000,0.05
3/8/2000,0.03
3/8/2000,0.03
3/8/2000,0.033
4/17/2000,0.032
4/17/2000,0.01
4/17/2000,0.01
4/17/2000,0.01
4/17/2000,1
4/17/2000,1
4/17/2000,1
4/17/2000,0.139
10/26/2000,1.4
10/26/2000,0.01
10/28/2000,1.7
10/28/2000,0.41
10/28/2000,0.05
10/29/2000,0.01
10/29/2000,0.01
11/29/2000,0.05
11/29/2000,0.05
11/29/2000,0.05
1/8/2001,0.77
1/8/2001,0.18
1/10/2001,0.26
1/10/2001,0.01
1/23/2001,0.05
1/23/2001,0.05
1/23/2001,0.05
1/23/2001,0.05
1/25/2001,1.33
1/25/2001,0.05
1/26/2001,0.23
1/26/2001,0.01
1/26/2001,0.01
2/9/2001,0.05
2/12/2001,0.01
2/12/2001,0.016
2/13/2001,0.027
2/17/2001,0.58
2/23/2001,0.01
2/23/2001,0.01
2/25/2001,0.01
3/3/2001,0.05
3/4/2001,0.05
3/6/2001,0.25
3/6/2001,0.01
3/6/2001,0.01
4/6/2001,0.05
4/7/2001,0.084
4/7/2001,0.036
4/7/2001,0.023
12/20/2001,0.05
12/20/2001,0.05
12/20/2001,0.05
12/20/2001,0.05
12/21/2001,0.05
12/21/2001,0.05
12/21/2001,0.05
1/26/2002,0.05
1/26/2002,0.05
1/26/2002,0.05
1/26/2002,0.05
1/26/2002,0.05
1/26/2002,0.05
1/26/2002,0.05
2/16/2002,0.1
2/16/2002,0.2
2/17/2002,0.05
2/17/2002,0.6
2/17/2002,0.3
2/17/2002,0.1
2/19/2002,0.1
2/20/2002,0.2
2/20/2002,0.2
3/6/2002,0.05
3/6/2002,0.05
3/7/2002,0.05
3/7/2002,0.05
3/7/2002,0.05
3/7/2002,0.05
3/17/2002,0.05
3/17/2002,0.05
3/17/2002,0.05
3/23/2002,0.05
3/23/2002,0.05
11/7/2002,0.05
11/7/2002,0.05
11/7/2002,0.05
11/7/2002,0.05
11/7/2002,0.05
11/7/2002,0.05
12/9/2002,0.05
12/9/2002,0.05
2/12/2003,0.55
2/12/2003,0.5
2/12/2003,0.62
2/12/2003,0.5
2/12/2003,0.5
2/12/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/15/2003,0.5
2/25/2003,0.5
2/26/2003,0.5
3/4/2003,0.5
4/4/2003,0.5
10/10/2007,0.01
10/19/2007,0.01
10/19/2007,0.01
10/19/2007,0.01
10/19/2007,0.01
12/4/2007,0.01
12/6/2007,0.01
12/6/2007,0.01
12/6/2007,0.01
12/6/2007,0.01
12/6/2007,0.01
12/7/2007,0.11
12/7/2007,0.01
12/7/2007,0.01
12/7/2007,0.01
12/7/2007,0.01
12/17/2007,0.01
12/17/2007,0.01
12/18/2007,0.01
12/18/2007,0.4
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/18/2007,0.01
12/19/2007,0.01
12/19/2007,0.01
12/19/2007,0.01
12/19/2007,0.01
1/3/2008,0.01
1/3/2008,0.01
1/3/2008,0.01
1/3/2008,0.01
1/3/2008,0.01
1/3/2008,0.01
1/3/2008,0.01
1/4/2008,0.01
1/4/2008,0.01
1/4/2008,0.01
1/4/2008,0.11
1/4/2008,0.01
1/4/2008,0.01
1/4/2008,0.01
1/4/2008,0.01
1/4/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.01
1/5/2008,0.02
1/5/2008,0.3
1/5/2008,0.06
1/5/2008,0.05
1/5/2008,0.01
1/6/2008,0.02
1/15/2008,0.02
1/15/2008,0.02
1/26/2008,0.1
1/30/2008,0.01
1/31/2008,0.08
1/31/2008,0.05
1/31/2008,0.01
2/2/2008,0.01
2/2/2008,0.01
2/2/2008,0.01
2/2/2008,0.01
2/3/2008,0.03
2/3/2008,0.02
2/3/2008,0.02
2/6/2008,0.1
2/6/2008,0.1
2/11/2008,0.08
2/11/2008,0.1
2/22/2008,0.01
2/22/2008,0.08
2/24/2008,0.08
4/1/2008,0.02
4/1/2008,0.07
4/22/2008,0.08
4/22/2008,0.2
4/22/2008,0.01
4/23/2008,0.1
4/23/2008,0.2
12/6/2008,0.01
12/6/2008,0.01
12/13/2012,0.05
12/13/2012,0.05
12/13/2012,0.05
12/13/2012,0.05
1/25/2013,0.05
1/25/2013,0.05
1/25/2013,0.05
1/25/2013,0.05
2/8/2013,0.05
2/8/2013,0.05
2/18/2013,0.0005
2/19/2013,0.0005
2/20/2013,0.0005
3/6/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
2/3/2014,0.05
2/3/2014,0.05
2/27/2014,0.5366
2/28/2014,0.05
2/28/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/26/2014,0.007
3/26/2014,0.007
4/2/2014,0.05
4/2/2014,0.05
4/2/2014,0.05
,
